brand_name,ratingCount
Besiva,20
Besiva,0
Besiva,0
Besiva,0
Besiva,0
Beverly Blues,0
Beverly Blues,0
Beverly Blues,0
Beverly Blues,0
Beverly Blues,0
Beverly Blues,0
Beverly Blues,0
Beverly Blues,5
Beverly Hills Polo Club,0
Beverly Hills Polo Club,0
Bewakoof,7
Bewakoof,0
Bewakoof,0
Bhama Couture,365
Bhama Couture,1871
Bhama Couture,315
Bhama Couture,344
Bhama Couture,470
Bhama Couture,56
Bhama Couture,149
Bhama Couture,60
Bhama Couture,186
Bhama Couture,106
Bhama Couture,288
Bhama Couture,49
Bhama Couture,80
Bhama Couture,30
Bhama Couture,53
Bhama Couture,444
Bhama Couture,27
Bhama Couture,6
Bhama Couture,0
Bhama Couture,4
Bhama Couture,31
Bhama Couture,31
Bhama Couture,8
Bhama Couture,9
Bhama Couture,0
Bhama Couture,3
Bhama Couture,29
Bhama Couture,5
Bhama Couture,0
Bhama Couture,0
Bhama Couture,23
Bhama Couture,28
Bhama Couture,17
Bhama Couture,550
Bhama Couture,56
Bhama Couture,0
Bhama Couture,163
Bhama Couture,57
Bhama Couture,0
Bhama Couture,199
Bhama Couture,44
Bhama Couture,464
Bhama Couture,19
Bhama Couture,1238
Bhama Couture,9
Bhama Couture,9
Bhama Couture,108
Bhama Couture,48
Bhama Couture,10
Bhama Couture,288
Bhama Couture,13
Bharatsthali,0
Bharatsthali,0
Biba,0
Biba,0
Biba,0
Biba,8
Biba,0
Biba,0
Biba,0
Biba,0
Biba,30
Biba,0
Biba,49
Biba,0
Biba,0
Biba,0
Biba,2
Biba,0
Biba,0
Biba,0
